tag,root,pos,images
behind_back,back,ADV,732
beige_background,background,NOUN,7417
beige_jacket,jacket,NOUN,925
beige_shirt,shirt,NOUN,884
beige_skirt,skirt,PROPN,438
beige_sweater,sweater,NOUN,1377
bell,bell,NOUN,82140
belly,belly,NOUN,9453
belly_chain,chain,NOUN,2080
belly_grab,grab,VERB,1008
belt,belt,NOUN,207019
belt_boots,boots,NOUN,1159
belt_buckle,buckle,NOUN,17233
belt_collar,collar,NOUN,3684
belt_pouch,pouch,NOUN,6298
beltbra,beltbra,NOUN,1764
beltskirt,beltskirt,PROPN,791
bench,bench,PROPN,11107
bendy_straw,straw,NOUN,1480
bent_over,bent,VERB,45632
bento,bento,PROPN,2674
beret,beret,PROPN,65095
beretta_92,beretta,PROPN,643
berry,berry,NOUN,1000
berry_(pokemon),berry,NOUN,752
bespectacled,bespectacled,VERB,19403
bestiality,bestiality,NOUN,5787
between_breasts,between,ADP,37127
between_fingers,between,ADP,5388
between_legs,between,ADP,26330
between_pectorals,between,ADP,918
between_thighs,between,ADP,1922
between_toes,between,ADP,717
bib,bib,NOUN,805
biceps,biceps,NOUN,5519
bicorne,bicorne,PROPN,1073
bicycle,bicycle,NOUN,4828
bicycle_basket,basket,NOUN,785
big_belly,belly,NOUN,2303
big_hair,hair,NOUN,7234
bike_shorts,shorts,NOUN,38895
bike_shorts_under_shorts,shorts,NOUN,688
bike_shorts_under_skirt,shorts,NOUN,2827
biker_clothes,clothes,NOUN,1626
bikesuit,bikesuit,PROPN,1127
bikini,bikini,PROPN,346384
bikini_armor,armor,NOUN,7493
bikini_aside,bikini,VERB,0
bikini_bottom,bottom,NOUN,6296
bikini_bottom_removed,removed,VERB,678
bikini_lift,lift,NOUN,3529
bikini_pull,pull,NOUN,7538
bikini_shorts,shorts,NOUN,726
bikini_skirt,skirt,PROPN,9153
bikini_tan,tan,PROPN,3900
bikini_top,top,NOUN,31112
bikini_top_removed,removed,VERB,1574
bikini_under_clothes,bikini,NOUN,11430
binoculars,binoculars,NOUN,3199
bird,bird,NOUN,67486
bird_ears,ears,NOUN,2923
bird_mask,mask,NOUN,1100
bird_on_hand,bird,NOUN,1700
bird_on_head,bird,NOUN,2733
bird_on_shoulder,bird,NOUN,1304
bird_tail,tail,NOUN,4064
bird_wings,wings,NOUN,10718
birdcage,birdcage,NOUN,1756
biribiri,biribiri,PROPN,0
birthday,birthday,NOUN,6074
birthday_cake,cake,NOUN,1977
birthmark,birthmark,PROPN,1075
bisexual_female,female,NOUN,1865
bishamonten's_pagoda,pagoda,NOUN,1551
bishamonten's_spear,spear,NOUN,756
bishop_(chess),bishop,PROPN,1139
bishounen,bishounen,PROPN,6890
bit_gag,gag,NOUN,2364
bite_mark,mark,VERB,1934
biting,biting,VERB,10966
biwa_lute,lute,NOUN,658
black-framed_eyewear,eyewear,NOUN,22077
black_apron,apron,NOUN,2129
black_armor,armor,NOUN,3015
black_ascot,ascot,NOUN,2665
black_background,background,NOUN,40031
black_bag,bag,NOUN,2274
black_belt,belt,NOUN,19297
black_bikini,bikini,PROPN,70984
black_blindfold,blindfold,NOUN,5280
black_blouse,blouse,NOUN,90893
black_bodysuit,bodysuit,PROPN,14483
black_border,border,NOUN,9415
black_bow,bow,NOUN,78586
black_bowtie,bowtie,NOUN,17312
black_bra,bra,NOUN,38666
black_buruma,buruma,PROPN,1405
black_camisole,camisole,NOUN,2186
black_cape,cape,NOUN,12602
black_capelet,capelet,NOUN,6081
black_cardigan,cardigan,NOUN,2482
black_cat,cat,NOUN,7793
black_choker,choker,NOUN,61710
black_cloak,cloak,NOUN,3749
black_clothes,clothes,NOUN,507
black_coat,coat,NOUN,18901
black_coat_(kingdom_hearts),coat,NOUN,582
black_collar,collar,PROPN,10277
black_dress,dress,NOUN,130356
black_eyepatch,eyepatch,NOUN,0
black_eyes,eyes,NOUN,134822
black_feathers,feathers,NOUN,2006
black_flower,flower,NOUN,3508
black_footwear,footwear,NOUN,145487
black_fur,fur,NOUN,2358
black_garter_belt,belt,NOUN,876
black_gloves,gloves,NOUN,232415
black_hair,hair,NOUN,970022
black_hairband,hairband,NOUN,45254
black_hakama,hakama,NOUN,1960
black_headband,headband,NOUN,2401
black_headwear,headwear,NOUN,82767
black_hoodie,hoodie,NOUN,7806
black_horns,horns,NOUN,5552
black_jacket,jacket,NOUN,105065
black_keys_(type-moon),keys,NOUN,666
black_kimono,kimono,NOUN,9213
black_legwear,legwear,NOUN,150292
black_leotard,leotard,NOUN,32402
black_lips,lips,NOUN,2098
black_male_underwear,underwear,NOUN,1262
black_nails,nails,NOUN,33842
black_neckerchief,neckerchief,NOUN,7383
black_necktie,necktie,NOUN,29550
black_neckwear,neckwear,NOUN,5678
black_panties,panties,NOUN,93489
black_pants,pants,NOUN,56100
black_pubic_hair,hair,NOUN,1304
black_ribbon,ribbon,NOUN,81644
black_robe,robe,NOUN,1699
black_rose,rose,VERB,2114
black_sailor_collar,collar,NOUN,21612
black_sash,sash,NOUN,1505
black_scarf,scarf,NOUN,7682
black_sclera,sclera,NOUN,13877
black_scrunchie,scrunchie,PROPN,2267
black_serafuku,serafuku,NOUN,19925
black_shirt,shirt,NOUN,90893
black_shorts,shorts,NOUN,56905
black_skin,skin,NOUN,3686
black_skirt,skirt,NOUN,168789
black_sleeves,sleeves,NOUN,13490
black_sports_bra,bra,NOUN,1949
black_suit,suit,NOUN,3874
black_sweater,sweater,NOUN,9662
black_swimsuit,swimsuit,PROPN,0
black_tail,tail,NOUN,2213
black_tank_top,top,NOUN,5705
black_theme,theme,NOUN,1330
black_umbrella,umbrella,NOUN,865
black_undershirt,undershirt,NOUN,826
black_vest,vest,NOUN,18798
black_wings,wings,NOUN,22640
black_wristband,wristband,NOUN,1184
blade,blade,NOUN,2474
blank_censor,censor,NOUN,942
blank_eyes,eyes,NOUN,5957
blank_speech_bubble,bubble,NOUN,812
blank_stare,stare,NOUN,986
blanket,blanket,NOUN,14287
blazer,blazer,NOUN,50101
bleeding,bleeding,VERB,2915
blind,blind,ADJ,969
blindfold,blindfold,NOUN,14747
blinds,blinds,NOUN,1622
blinking,blinking,VERB,4620
blob,blob,X,666
blonde_hair,hair,NOUN,1087912
blonde_pubic_hair,hair,NOUN,1354
blood,blood,NOUN,80137
blood_from_eyes,blood,NOUN,1491
blood_from_mouth,blood,NOUN,3756
blood_on_clothes,blood,NOUN,9547
blood_on_face,blood,NOUN,17388
blood_on_hands,blood,NOUN,4320
blood_on_knife,blood,NOUN,914
blood_on_weapon,blood,NOUN,3859
blood_splatter,splatter,NOUN,5020
blood_stain,stain,NOUN,1867
bloom,bloom,NOUN,2415
bloomers,bloomers,NOUN,16331
blouse,blouse,NOUN,39516
blowing,blowing,VERB,896
blowing_kiss,blowing,VERB,1317
blue-framed_eyewear,eyewear,NOUN,2955
blue_apron,apron,NOUN,1718
blue_armor,armor,NOUN,1135
blue_ascot,ascot,NOUN,2188
blue_background,background,NOUN,63067
blue_belt,belt,NOUN,2582
blue_bikini,bikini,PROPN,27034
blue_blouse,blouse,NOUN,45001
blue_bodysuit,bodysuit,PROPN,4239
blue_border,border,NOUN,772
blue_bow,bow,NOUN,61649
blue_bowtie,bowtie,NOUN,13031
blue_bra,bra,NOUN,8861
blue_buruma,buruma,PROPN,3860
blue_butterfly,butterfly,NOUN,3904
blue_cape,cape,NOUN,5959
blue_capelet,capelet,NOUN,3218
blue_cardigan,cardigan,NOUN,2156
blue_choker,choker,NOUN,6441
blue_cloak,cloak,NOUN,1060
blue_coat,coat,NOUN,5239
blue_collar,collar,PROPN,1213
blue_dress,dress,NOUN,72112
blue_eyes,eyes,NOUN,1212960
blue_eyeshadow,eyeshadow,NOUN,1326
blue_feathers,feathers,NOUN,752
blue_fire,fire,NOUN,4340
blue_flower,flower,NOUN,21736
blue_footwear,footwear,NOUN,19744
blue_gloves,gloves,NOUN,13200
blue_hair,hair,NOUN,558206
blue_hairband,hairband,NOUN,7916
